MAC #,incipit,repository,ms number,Notes and alternate forms of incipit by a few letters
164,ወአመ፡ ቀዳሚ፡ መዋዕል፡ ሶበ፡ መበለት፡ ስሕተት፡ በዕልወተ፡ ንግሥት፡ ርኩስት፡ ሀለወት፡ መበለት፡ ዘትነብር፡ ውስተ፡ ምኔት፡ ወይእቲ፡ ቅድስት፡ ወጸጋ፡ እግዚአብሔር፡ ላዕሌሃ፡ ወኵሉ፡ ሰብእ፡ ይመጽኡ፡ ኃቤሃ፡ ከመ፡ ይነሥኡ፡ በረከተ,EMML,3872,ወአመ፡ ቀዳሚ፡ መዋዕል፡ ሶበ፡ መበለት፡ ስሕተት፡ በዕልወተ፡ (mss: ዕልወት፡) ንግሥት፡ ርኩስት፡ ሀለወት፡ መበለት፡ ዘትነብር፡ ውስተ፡ ምኔት፡ ወይእቲ፡ ቅድስት፡ ወጸጋ፡ እግዚአብሔር፡ ላዕሌሃ፡ ወኵሉ፡ ሰብእ፡ ይመጽኡ፡ ኃቤሃ፡ ከመ፡ ይነሥኡ፡ በረከተ
164,ተብህለ፡ ከመ፡ ሀለወት፡ አሐቲ፡ ብእሲት፡ ሠናይት፡ ፈራሂተ፡ እግዚአብሔር፡ ወታፈቅራ፡ ለእግዝእትነ፡…. በኵሉ፡ ልባ። ወአስተዋደይዋ፡ ሰብእ፡ እኩያን፡ ለይእቲ፡ ብእሲት፡ ኀበ፡ ብልካርያ፡ ንግሥት፡ ርኩስት፡ ወአምቅሕዋ፡ ውስተ፡ ቤተ፡ ሞቅሕ,EMML,7089,
165,ወሀለወት፡ አሐቲ፡ ብእሲት፡ ኃጥእት፡ ዘገብረት፡ ኀጣውኣ፡ ዐበይተ፡ ወእምኵሉ፡ ዘየዐቢ፡ ጌጋያ፡ ትኔሥሕ፡ ወተመዪጣ፡ ትገብእ፡ ኀበ፡ ዘቀዳሚ፡ ምግባራ,EMML,3872,
165,ተብህለ፡ ከመ፡ ሀለወት፡ አሐቲ፡ ብእሲት፡ ኃጥእት፡ ወትገብር፡ ኃጢአተ፡ በኵሉ፡ ጊዜ። ወኮነ፡ ትትመነደብ፡ በገቢረ፡ ኃጢአተ፡ እስመ፡ ይእቲ፡ ኮነት፡ ትኔስሕ፡ ወትትመየጥ፡ ውስተ፡ ገቢረ፡ ኃጢአት,EMML,7089,
166,ወሀሎ፡ አሐዱ፡ ጠቢብ፡ ዘስሙ፡ ሲላን፡ በደብረ፡ ኢቆንዮን፡ ወመንኰሰ፡ ውስተ፡ አሐቲ፡ ደብር። ወሶበ፡ ርእየ፡ ሲሳዮሙ፡ ለቅዱሳን፡ ዘይበልዑ፡ ሐለየ፡ በልቡ,EMML,3872,
166,ወሀለወ፡ አሐዱ፡ ብእሲ፡ ጠቢብ፡ ወመነኮስ፡ ውስተ፡ አሐዱ፡ ደብር፡ ወፈተወ፡ ከመ፡ ይንብር፡ ውስተ፡ ይእቲ፡ ደብር፡ ወይሜግብ፡ ነፍሶ፡ በጥበበ፡ ዚአሁ። ወተሐረመ፡ ከመ፡ ኢይብላዕ፡ እምመባልዕት፡ ዘይበልዑ፡ መነኮሳት,EMML,7089,
167,ወሀለወት፡ አሐቲ፡ ብእሲት፡ በሀገረ፡ ሮሜ፡ በቤተ፡ ሶፍያ፡ ዘስማ፡ እንባምሬና፡ ዘደወየት፡ በሕማመ፡ ዓይን,EMML,3872,ወሀለወት፡ አሐቲ፡ ብእሲት፡ በሀገረ፡ ሮሜ፡ በቤተ፡ ሶፍያ፡ ዘስማ፡ እንባምሬና፡ (ms: እምባብሬና፡) ዘደወየት፡ በሕማመ፡ ዓይን
167,ተብህለ፡ በእንተ፡ አሐቲ፡ ብእሲት፡ ከመ፡ ይእቲ፡ በፅዓት፡ ነፍሳ፡ ከመ፡ ትጹም፡ ጾመ፡ እግዝእትነ፡…. ወሶበ፡ ጾመት፡ አእመረ፡ ምታ፡ ከመ፡ ይእቲ፡ ትጸውም፡ ሐዘነ፡ ላዕሌሃ፡ ወከልኣ፡ እምጾም,EMML,7089,
168,ወሀለወት፡ አሐቲ፡ ብእሲት፡ ዘስማ፡ ሶፍያ፡ ክብርት፡ ዘትነብር፡ ውስተ፡ ደሴት፡ ማእከለ፡ ባሕር፡ ዘሰመናዊ፡ ወይእቲ፡ እምዐበይተ፡ ሀገር፡ ወለተ፡ ክቡራነ፡ ዘመድ፡ እምድቂቀ፡ እስራኤል፡ አቡሃ፡ ወእማ፡ እምቤተ፡ አሮን,EMML,3872,
168,ተብህለ፡ ከመ፡ ሀለወት፡ አሐቲ፡ ብእሲት፡ ክብርት፡ እምዘመደ፡ ክቡራን፡ ውስተ፡ አሐቲ፡ ሀገር፡ በጽንፈ፡ ባሕር፡ ዘየዐቢ፡ ወዘመዳ፡ ለይእቲ፡ ብእሲት፡ ይከብሩ፡ እምሰብአ፡ ይእቲ፡ ሀገር፡ ወባቲ፡ ምታ፡ እምክቡራነ፡ ሰብእ፡ ወሊቃውንት፡ ዐበይት,EMML,7089,
169,ወነበረ፡ ውስተ፡ ሀገረ፡ ቍስጥንጥንያ፡ ብእሲ፡ ዘስሙ፡ አቦሊ፡ እስመ፡ ባዕል፡ ወነጋዲ፡ ውእቱ፡ ወጥቀ፡ ሀለዎ፡ ፍቁር፡ ወዓርክ፡ ምእመን፡ እምሰብአ፡ ሮሜ፡ እምዘመደ፡ መንግሥት፡ ብእሲሁ፡ ዘስሙ፡ በጊዶ,EMML,3872,
169,ተብህለ፡ ከመ፡ ሀሎ፡ በውስተ፡ ሀገረ፡ ቍስጥንጥንያ፡ ብእሲ፡ ባዕል፡ ወኮነ፡ ሎቱ፡ ዐርካ፡ ክቡር፡ መስፍን፡ እምዐበይተ፡ ይእቲ፡ ሀገር,EMML,7089,
170,ወሀሎ፡ አሐዱ፡ መነኮስ፡ ዘስሙ፡ ጢሞቴዎስ፡ መጋቤ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡…. ተንባሊተ፡ ምሕረት። ወአሐተ፡ ዕለተ፡ ሰትየ፡ ወይነ፡ ወሰክረ፡ እምጻዕፈ፡ ወይን,EMML,3872,
170,ተብህለ፡ ከመ፡ ሀሎ፡ አሐዱ፡ መነኮስ፡ ውስተ፡ አሐቲ፡ ደብር፡ ወኮነ፡ ይትለአካ፡ ለእግዝእትነ፡…. መስተምሕርት፡ ወመስተሣህልት፡ ወያፈቅራ፡ በኵሉ፡ ልቡ። ወበአሐቲ፡ ዕለት፡ እምዕለታት፡ ሰትየ፡ ውእቱ፡ መነኮስ፡ ወይነ፡ ወሰክረ,EMML,7089,
171,ወነበረ፡ አሐዱ፡ ብእሲ፡ ክቡር፡ ወቡሩክ፡ ዘይፈርሆ፡ ለእግዚአብሔር፡ ዘስሙ፡ ሰርጊዮስ፡ ወሀለወት፡ ብእሲቱ፡ ቡርክት፡ ወቅድስት፡ ዘስማ፡ አብርስቂላ። ወተካየዱ፡ ክልኤሆሙ፡ ብእሲ፡ ምስለ፡ ብእሲቱ፡ ወበጽኡ፡ ርእሶሙ፡ ከመ፡ ይንበሩ፡ በንጽሕ,EMML,3872,
171,ተብህለ፡ ከመ፡ ሀለወ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ዘቦቱ፡ ብእሲተ፡ ክብርተ፡ ወሠናይተ፡ ወበጽሑ፡ ክልኤሆሙ፡ እስከ፡ ርሥእና፡ ተካየዱ፡ በበይናቲሆሙ፡ ከመ፡ ይዕቀቡ፡ ሥጋሆሙ፡ በንጽሕና,EMML,7089,
172,ወነበረ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ወነጋዲ፡ ዘስሙ፡ ፊልጶስ፡ ዘሀገረ፡ ኒቆንያ፡ ወቦቱ፡ ምግባረ፡ ሠናይ፡ ወይምሕክ፡ ነዳያነ፡ በውሂበ፡ ምጽዋት፡ ብዙኅ። ወአሐተ፡ ዕለተ፡ ሐለየ፡ በልቡ፡ እንዘ፡ ይብል፡ እስመ፡ ሊተ፡ ብዙኅ፡ ንዋይ፡ ወብየ፡ ብዙኅ፡ ወርቅ፡ ወብሩር፡ ወእፈቅድ፡ አሃብ፡ ለነዳያን፡ ወለምስኪናን፡ እምቅድመ፡ እሙት,EMML,3872,
173,ወሀለዉ፡ አኃው፡ ፪፡ በሀገረ፡ ሮሜ፡ ለአሐዱ፡ ስሙ፡ ጴጥሮስ፡ ወለካልኡ፡ እስጢፋኖስ፡ ወጴጥሮስ፡ ዲያቆን፡ ውእቱ፡ ለቤተ፡ ክርስቲያን,EMML,3872,
174,ወሀሎ፡ አሐዱ፡ ፈረሳዊ፡ ዘስሙ፡ ማልኮስ፡ ዘሀገረ፡ ንሒሳ፡ ወክቡር፡ ውእቱ፡ ወባዕል፡ ጥቀ፡ ወብዙኅ፡ ንዋዩ፡ ወገራውኢሁ፡ እስመ፡ ኃጥእ፡ ወጊጉይ፡ ውእቱ፡ ፈረሳዊ፡ ማልኮስ፡ ወኢይዜከሮ፡ ለሞት,EMML,3872,
174,ተብህለ፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ ፈረሳዊ፡ ክቡር፡ ወባዕል፡ ዘቦቱ፡ ንዋያተ፡ ወአእጻዳተ፡ ወኢይገብር፡ ወኢምንተኒ፡ እምሠናያት፡ ወኮነ፡ ይጸልእ፡ አብያተ፡ ክርስቲያናት፡ ወነዳያነ፡ ወምስኪናነ፡ ወያፈቅር፡ ተውኔተ፡ ወማኅሌተ፡ ወትፍግዕተ,EMML,7089,
175,ወነበረ፡ በሀገረ፡ ሮሜ፡ ሊቀ፡ ጳጳሳት፡ ዲበ፡ መንበረ፡ ጴጥሮስ፡ ዘስሙ፡ ፓኵሚስ፡ እስመ፡ መፍቀሬ፡ ንዋይ፡ ውእቱ፡ ወይነሥእ፡ ንዋየ፡ ቤተ፡ ክርስቲያን፡ ለመፍቅዱ፡ ወለጻሕቁ፡ ወእምብዝኃ፡ ድፍረቱ፡ ነሥአ፡ ሜሮነ፡ እምቤተ፡ ክርስቲያን፡ ወሤጦ፡ ለንዋይ,EMML,3872,
176,ወሀሎ፡ አሐዱ፡ ቀሲስ፡ ውስተ፡ አሐቲ፡ ሀገር፡ እምብሔረ፡ ግብጽ፡ ዘያፈቅር፡ ንዋየ። ወሀሎ፡ ካዕበ፡ ካልእ፡ ብእሲ፡ ዘያፈቅር፡ ሕልያነ፡ ሐመ፡ ዐቢየ፡ ሕማመ,EMML,3872,
176,ተብህለ፡ ከመ፡ ሀሎ፡ አሐዱ፡ ቀሲስ፡ ውስተ፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ወኮነ፡ ሥሡዐ፡ ወመፍቀሬ፡ ንዋይ፡ ወጽኑሰ፡ ወኢይገብር፡ ሠናየ። ወሀሎ፡ ውስተ፡ ይእቲ፡ ሀገር፡ ብእሲ፡ ባዕል፡ ዘይሁብ፡ ንዋዮ፡ በርዳ,EMML,7089,
177,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ይነብር፡ ውስተ፡ አሐቲ፡ ሀገር፡ ዘስማ፡ ደብረ፡ ምጥማቅ፡ ወትነብር፡ ውስተ፡ ይእቲ፡ ደብር፡ አሐቲ፡ መበለት፡ ንእስት፡ ዘሠናይ፡ ሥነ፡ ላሕያ። ወኮነት፡ ይእቲ፡ መበለት፡ ታፈቅራ፡ ለእግዝእትነ፡ ማርያም፡ መዝገበ፡ ምሕረት፡ ወሣህል፡ ወትትፌሣሕ፡ በበዐላቲሃ፡ ለለኵሉ፡ አውራኅ፡ ወታስተፌሥሖሙ፡ ለነዳያን፡ ወለምስኪናን። ወሶበ፡ ርእየ፡ ሰይጣን፡ ግዕዛ፡ ሠናየ፡ ቀንዓ፡ ላዕሌሃ፡ ወቦአ፡ ውስተ፡ ልበ፡ አሐዱ፡ ፈረሳዊ,EMML,3872,
178,ወሀሎ፡ ውስተ፡ ሀገረ፡ ሮሜ፡ አመ፡ መዋዕለ፡ ንጉሠ፡ ሳባ፡ ፈተዉ፡ ውሑዳን፡ ሰብእ፡ ይሖሩ፡ ኀበ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡ ማርያም፡ ከመ፡ ይግነዩ፡ ወይስግዱ፡ ውስቴታ። ወእንዘ፡ የሐውሩ፡ በፍኖት፡ ሃደሩ፡ ውስተ፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ዘተሐንጸት፡ በስመ፡ ሐዋርያ፡ ጳውሎስ,EMML,3872,ወሀሎ፡ ውስተ፡ ሀገረ፡ ሮሜ፡ አመ፡ መዋዕለ፡ ንጉሠ፡ ሳባ፡ ፈተዉ፡ ውሑዳን፡ ሰብእ፡ ይሖሩ፡ ኀበ፡ ቤተ፡ ክርስቲያና፡ ለእግዝእትነ፡ ማርያም፡ ከመ፡ ይግነዩ፡ ወይስግዱ፡ ውስቴታ። ወእንዘ፡ የሐውሩ፡ በፍኖት፡ ሃደሩ፡ ውስተ፡ አሐቲ፡ ቤተ፡ ክርስቲያን፡ ዘተሐንጸት፡ (ms: ተሐንጸ፡) በስመ፡ ሐዋርያ፡ ጳውሎስ
178,ተብህለ፡ በእንተ፡ አኃው፡ ክርስቲያን፡ እንዘ፡ የሐውሩ፡ ኀበ፡ ሀገረ፡ ሮሜ፡ ወረከቡ፡ በህየ፡ ቤተ፡ ክርስቲያነ፡ በስሙ፡ ለቅዱስ፡ ሐዋርያ፡ ጳውሎስ፡ ዘተሐንጸት፡ በስመ፡ ዚአሁ,EMML,1573,
179,ወሀሎ፡ ማእከለ፡ ባሕረ፡ ጤግሮስ፡ ደሴት፡ ዘይሰመይ፡ ደብረ፡ ኤፍሬም፡ ወይነብሩ፡ ውስቴታ፡ ብዙኃን፡ መነኮሳት፡ ወእም፡ ውስቴቶሙ፡ ሀሎ፡ ብእሲ፡ ዘመንኰሰ፡ እምንእሱ፡ ወይትለአክ፡ ለእግዝእትነ፡ በሠናይ፡ አምልኮ፡ በፍቅረ፡ ዚአሃ,EMML,3872,
179,ወሀሎ፡ አሐዱ፡ ደብር፡ ዘመነኮሳት፡ ኀበ፡ ጽንፈ፡ ባሕር፡ ወሀሎ፡ ውስቴቱ፡ አሐዱ፡ እኅው፡ ዘመንኰሰ፡ እምንእሱ፡ ወውእቱሰ፡ ብእሲ፡ ሠናይ፡ ውእቱ,EMML,1573,
180,ወሀሎ፡ አሐዱ፡ ፈረሳዊ፡ ዘስሙ፡ ኒፎን፡ ዘሀገረ፡ ገለአድ፡ ዝሁር፡ ውእቱ፡ ወሬዛ፡ ወይትሜካሕ፡ በብዙኅ፡ ብዕሉ፡ ወይሰረገው፡ በአልባሰ፡ ወርቅ፡ ወይትአጸፍ፡ ሜላተ። ወአሐተ፡ ዕለተ፡ እንዘ፡ ያንሶሱ፡ ማእከለ፡ ምሥያጣት፡ ወውስተ፡ መራኅብት፡ ነጸረ፡ ለአሐቲ፡ ብእሲት፡ በዐይነ፡ ፍትወት,EMML,3872,
180,ተብህለ፡ ከመ፡ ሀሎ፡ አሐዱ፡ ብእሲ፡ እምሰብአ፡ አፍራስ፡ እስመ፡ ውእቱ፡ ኮነ፡ ፈረሳዊ፡ ጽኑዕ፡ በውርዙቱ፡ ወይዜሀር፡ በብዝኀ፡ ጥሪቱ። ወኮነ፡ ያፈቅራ፡ ለአሐቲ፡ ብእሲት፡ ላሕይት፡ ዘትነብር፡ ውስተ፡ ይእቲ፡ ሀገር፡ ወወሀባ፡ ንዋየ፡ ብዙኀ፡ ወኢተክህሎ፡ ከመ፡ ይትራከብ፡ ምስሌሃ,EMML,1573,
181,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዘስሙ፡ ናታን፡ በደብረ፡ ሰራብዮን፡ ኀበ፡ መነኮሳት፡ ዘይእቲ፡ ደብር፡ ወውእቱ፡ መጋቢ፡ ዘየዐቅብ፡ መዛግብተ፡ ዘቤተ፡ ክርስቲያን፡ ወውእቱ፡ ዘይጠቅዕ፡ መጥቅዓ፡ በጊዜ፡ ጸሎት፡ ዘሰዓታት,EMML,3872,
182,ወሀሎ፡ አሐዱ፡ ነጋዲ፡ ዘስሙ፡ ጥብርያኖስ፡ በሀገረ፡ ቅፍጥ፡ እስመ፡ ባዕል፡ ጥቀ፡ በአግብርት፡ ወበአእማት፡ በወርቅ፡ ወበብሩር፡ ወአልሕምት፡ ወአግማል፡ ወዘይነግድ፡ ዲበ፡ የብስ፡ ወባሕር ። ወተወለጠ፡ ላዕሌሁ፡ መዋዕል፡ ወአዝማን፡ ወኃልቀ፡ ኵሉ፡ ንዋዩ,EMML,3872,ወሀሎ፡ አሐዱ፡ ነጋዲ፡ ዘስሙ፡ ጥብርያኖስ፡ በሀገረ፡ ቅፍጥ፡ እስመ፡ ባዕል፡ ጥቀ፡ በአግብርት፡ ወበአእማት፡ በወርቅ፡ ወበብሩር፡ ወአልሕምት፡ ወአግማል፡ ወዘይነግድ፡ ዲበ፡ የብስ፡ ወባሕር (ms: ዲበ፡ ባሕር፡ ወየብስ፡ ወባሕር)። ወተወለጠ፡ ላዕሌሁ፡ መዋዕል፡ ወአዝማን፡ ወኃልቀ፡ ኵሉ፡ ንዋዩ
183,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ኖላዊ፡ ዘይሬኢ፡ አልህምተ፡ ወእንስሳ፡ ወኮነ፡ ብእሲ፡ የዋህ፡ ዘያፈቅራ፡ ለእግዝእትነ፡…. በልቡ፡ ወኮነ፡ ይትለአክ፡ ወይቀውም፡ ቅድሜሃ፡ ውስተ፡ ኵሉ፡ መካን፡ ወኢያጸርዕ፡ ሰላመ፡ መልአክ፡ ዛቲ፡ ወኮነ፡ ዝንቱ፡ ሰላም፡ ውስተ፡ አፉሁ፡ መዐልተ፡ ወሌሊተ፡ በሑረቱ፡ ወበግብአቱ፡ በንብረቱ፡ ወበተንሥኦቱ። ወአመ፡ በዐላ፡ ለእግዝእትነ፡…. ተንሥአ፡ አውሎ፡ ወበረድ፡ በይእቲ፡ ሌሊት፡ ወሐለየ፡ ውእቱ፡ ብእሲ፡ ከመ፡ ይመውቱ፡ እንስሳሁ፡ በይእቲ፡ ሌሊት,EMML,3872,
184,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ወሬዛ፡ ዘይነብር፡ ውስተ፡ አሐቲ፡ ሀገር፡ ወሠናይ፡ ውእቱ፡ እምወራዙት፡ ወኄር፡ በፍኖቱ፡ ወንጹሕ፡ ወጽሩይ፡ ወፈራሄ፡ እግዚአብሔር፡ ዘያፈቅር፡ ሠናያተ፡ ወይጸልእ፡ እኩያተ፡ እምንእሱ። ወነዳይ፡ ውእቱ፡ ይበልዕ፡ እምፍሬ፡ ጻማሁ፡ ወኮነ፡ ኵሎ፡ ዕለተ፡ የሐውር፡ ውስተ፡ ገዳም፡ ወይሴጽር፡ ዕፀወ፡ አው፡ የዓጽድ፡ ሣዕረ፡ ወይሠይጦ፡ ውስተ፡ ምሥያት,EMML,3872,
185,ተብህለ፡ ሶበ፡ ፈቀዱ፡ አኃው፡ ከመ፡ ይትጋብኡ፡ ውስተ፡ መንበሊስ፡ ተንሥኡ፡ እምአብርፊስ፡ ኀበ፡ መንበሊስ፡ ወሖረት፡ ምስሌሆሙ፡ አሐቲ፡ ብእሲት፡ ዐባይ፡ ወክብርት,EMML,3872,
185,ወሀሎ፡ አሐዱ፡ ደብር፡ ዘመነኮሳት፡ ወልማዶሙ፡ ለእሉ፡ መነኮሳት፡ የሐውሩ፡ ለለ፡ ዓመት፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ዘእግዝእትነ፡ ማርያም፡ በበዐለ፡ ዚአሃ፡ ወይገብሩ፡ በዐለ፡ ዐቢየ። ወአሐተ፡ ዕለተ፡ እንዘ፡ የሐውሩ፡ እሙንቱ፡ መነኮሳት፡ ኀበ፡ ቤተ፡ ክርስቲያን፡ ከመ፡ ያብዕሉ፡ በከመ፡ ልማዶሙ፡ ወሖረት፡ ምስሌሆሙ፡ አሐቲ፡ ብእሲት፡ ክብርተ፡ ዘመድ፡ ወባዕልት,EMML,5520,
186,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሠራቂ፡ ዘይሴሰይ፡ በሠሪቅ፡ ወባሕቱ፡ ይሁብ፡ ሰላማ፡ ለእግዝእትነ፡…፡ ብዙኃ፡ ጊዜያት፡ በልብ፡ ንጹሕ፡ ወበትሕትና፡ ወበየውሃት፡ ወሶበ፡ ኮነ፡ ይዜክር፡ ስማ፡ ይትሀወክ፡ እስመ፡ ፍቅራ፡ ውስተ፡ ልቡ,EMML,3872,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሠራቂ፡ ዘይሴሰይ፡ በሠሪቅ፡ ወባሕቱ፡ ይሁብ፡ ሰላማ፡ ለእግዝእትነ፡…፡ ብዙኃ፡ ጊዜያት፡ በልብ፡ ንጹሕ፡ ወበትሕትና፡ (ms: ወትሕትና፡) ወበየውሃት፡ ወሶበ፡ ኮነ፡ ይዜክር፡ ስማ፡ ይትሀወክ፡ እስመ፡ ፍቅራ፡ ውስተ፡ ልቡ
186,ወሀሎ፡ ፩፡ ብእሲ፡ ፈያታዊ፡ ዘኢየሐዩ፡ ዘእንበለ፡ በሠሪቅ፡ ንዋየ፡ ሰብእ,EMML,??,"?? 327?, perhaps EMML 3275?)"
187,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ገባራዊ፡ ዘኮነ፡ ያወትር፡ ኵሎ፡ ዕለተ፡ ሰላማ፡ ለእግዝእትነ፡…. ሰርከ፡ ወነግሃ፡ ወመንፈቀ፡ መዓልት፡ ወነበረ፡ ከመዝ፡ ብዙኃ፡ መዋዕለ። ወአሐተ፡ ዕለተ፡ ይቤላ፡ ኦእግዝእትየ፡ መስተሣህልት፡ እስመ፡ አንሰ፡ ወትረ፡ ከመዝ፡ እሁብ፡ ሰላመኪ፡ ዘእንበለ፡ ኃፍረት፡ ወአንቲኒ፡ ለምንት፡ ዘኢታገብኢ፡ ሊተ፡ ሰላምየ,EMML,3872,
188,ወሀሎ፡ አይሁዳዊ፡ ዘቦቱ፡ መራዕየ፡ አልህምት፡ ወቦቱ፡ አሐዱ፡ ወልደ፡ ዘይሬኢ፡ አልህምተ፡ አቡሁ፡ አፍአ፡ እምሀገር፡ ምስለ፡ ደቂቀ፡ ክርስቲያን። ወበአሐቲ፡ እምመዋዕል፡ ተጋብኡ፡ እሉ፡ ኖሎት፡ ከመ፡ ይብልዑ፡ ኅብስተ,EMML,3872,
189,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ዕቡይ፡ ዘስሙ፡ ጎልያድ፡ ወኃያል፡ ከመ፡ አንበሳ፡ ወሐያዲ፡ ውስተ፡ ዓለም፡ ወኢይፈርህ፡ እምደኃሪት። ወአሐተ፡ ዕለተ፡ እምመዋዕል፡ እንዘ፡ የሐውር፡ ኀበ፡ ግብሩ፡ በጽሐ፡ ኀበ፡ ደብረ፡ መነኮሳት፡ ዘእግዝእትነ,EMML,3872,
190,ወሀሎ፡ አሐዱ፡ አረማዊ፡ እምደቂቀ፡ ይስማዔል፡ ወረከበ፡ ውስተ፡ ቤቱ፡ ሥዕለ፡ እግዝእትነ፡…. ወኢያእመረ፡ እምኀበ፡ መጽአት፡ ይእቲ፡ ሥዕል,EMML,3872,
191,ወሀሎ፡ አሐዱ፡ ንጉሥ፡ ዘይነብር፡ ውስተ፡ ባሕር፡ ዘክቡር፡ እምነገሥት፡ ወአልቦ፡ ዘእንበለ፡ አሐዱ፡ ውሉድ፡ ወቡሩክ፡ ወሠናይ፡ ውእቱ፡ ወልድ፡ ወፈራሄ፡ እግዚአብሔር,EMML,3872,
192,ወሀሎ፡ አሐዱ፡ ወሬዛ፡ ሠናይ፡ ዘይነብር፡ ማእከለ፡ ባሕር፡ እምክቡራነ፡ ዘመድ፡ ውእቱ፡ ወኮነ፡ ውእቱ፡ ወሬዛ፡ ያፈቅር፡ በሊዐ፡ ወሰቲየ፡ ወፈግዓ። ወእምድኅረ፡ ዝንቱ፡ ኃልቀ፡ ንዋዩ፡ ወጸልእዎ፡ ፍቁራኒሁ,EMML,3872,
193,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ጥቀ፡ ወቦቱ፡ ብእሲተ፡ ሠናየ፡ ወመንክረ፡ ላሕያ፡ ወወሀባ፡ እግዚአብሔር፡ ስነ፡ ወላሕየ፡ ወሞገሰ፡ ወጣዕመ፡ ቃል፡ ዘአልቦ፡ ዘይመስላ፡ በውስተ፡ ይእቲ፡ ሀገር,EMML,3872,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ባዕል፡ ጥቀ፡ ወቦቱ፡ ብእሲተ፡ ሠናየ፡ ወመንክረ፡ (ms: መንክር፡) ላሕያ፡ ወወሀባ፡ እግዚአብሔር፡ ስነ፡ ወላሕየ፡ ወሞገሰ፡ ወጣዕመ፡ ቃል፡ ዘአልቦ፡ ዘይመስላ፡ በውስተ፡ ይእቲ፡ ሀገር
194,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ሊቅ፡ ወባዕል፡ ጥቀ፡ ወብዙኅ፡ ንዋዩ፡ ወእክሉ፡ ወጥሪቱ፡ ወኮነ፡ ኄረ፡ ወፈራሄ፡ እግዚአብሔር፡ ወይገብር፡ ሠናየ፡ ለኵሉ፡ ዘርሑቅ፡ ወዘቅሩብ፡ ወይመጸውት፡ ብዙኃ፡ ለነግድ፡ ወለፈላስያን። ወሐለየ፡ በልቡ፡ በዘያሠምሮ፡ ለእግዚአብሔር፡ ወገብረ፡ ማኅደረ፡ ለሕሙማን,EMML,3872,
195,ወሀሎ፡ አሐዱ፡ ብእሲ፡ ገብር፡ ባዕል፡ ውእቱ፡ በንዋይ፡ ወባሕቱ፡ ብዕሉሰ፡ ኮነ፡ እምንዋየ፡ ዓመፃ፡ እስመ፡ ኮነ፡ የሃይድ፡ ንዋየ፡ አግዋሪሁ,EMML,3872,
196,ወሀሎ፡ ውስተ፡ አሐቲ፡ ሀገር፡ አሐዱ፡ ደብር፡ ዘመነኮሳት፡ ውስተ፡ ውእቱ፡ ደብር፡ ሊቅ፡ ዘእኩይ፡ ግብሩ፡ ወያፈቅር፡ ነገረ፡ ከንቶ፡ ወይትፈጋዕ፡ በሠናይ፡ መባልዕት፡ ወኵሉ፡ ዘርእዮ፡ የአምር፡ እምአርአያሁ፡ ከመ፡ እኩይ፡ ብእሲ፡ ውእቱ,EMML,3872,
197,ወሀሎ፡ አሐዱ፡ ብእሲ፡ አይሁዳዊ፡ በውስተ፡ ሀገረ፡ ቍስጥንጥንያ፡ ሀገረ፡ ንጉሥ፡ ወቦቱ፡ ፍቁረ፡ ብእሲ፡ ክርስቲያናዊ፡ ወያፈቅሮ፡ ፈድፋደ። ወኮነ፡ ውእቱ፡ አይሁዳዊ፡ ይጸልእ፡ ሃይማኖተ፡ ክርስቲያን፡ ወይጸርፍ፡ ላዕሌሆሙ፡ በነገረ፡ እኩይ,EMML,3872,
198,ይቤ፡ ወሀለወ፡ ውስተ፡ ሀገረ፡ ሮሜ፡ ብእሲ፡ ክቡር፡ ዘቦቱ፡ ብእሲተ፡ ክብርተ፡ ብዑላን፡ ውእቶሙ፡ በሀገረ፡ ሮሜ፡ ወአልቦሙ፡ ውሉደ፡ ወእምብዝኃ፡ አፍቅሮቶሙ፡ ለውሉድ፡ ይመጸውቱ፡ ብዙኃ፡ ወይበፅዑ፡ ለሰማዕት፡ ወለቅዱሳን,EMML,3872,
